Seminar Foundations of Dependable Systems I ,https://mcs.unibnf.ch/courses/seminar-foundations-of-dependable-systems-i/,Seminar,Fribourg,13803/43803,T1 – Distributed Systems & T4 – Logic,T1 & T4,On Appointment,"UniFR, PER21 / online",,
Seminar Hands-On Recommender Systems ,https://mcs.unibnf.ch/courses/seminar-hands-on-recommender-systems/,Seminar,Fribourg,53835/63835,T5 – Information Systems and Decision Support & T6 – Data Science,T5 & T6,On Appointment,"UniFR, PER21 / online",B205,
Seminar Human Smart Cities ,https://mcs.unibnf.ch/courses/seminar-human-smart-cities/,Seminar,Fribourg,53804/63804,T5 – Information Systems and Decision Support & T6 – Data Science,T5 & T6,On Appointment,"UniFR, PER21 / online",,
Seminar Human-Computer Interaction I ,https://mcs.unibnf.ch/courses/seminar-human-computer-interaction-i/,Seminar,Fribourg,33828/63828,T3 – Advanced Information Processing & T6 – Data Science,T3 & T6,On Appointment,"UniFR, PER21 / online",,
Seminar Interdisciplinary Issues in ICT ,https://mcs.unibnf.ch/courses/seminar-interdisciplinary-issues-in-ict/,Seminar,Fribourg,03805,T0 – General,T0,On Appointment,"UniFR, PER21",,
Seminar Logic and Theoretical Computer Science ,https://mcs.unibnf.ch/courses/seminar-logic-and-theoretical-computer-science/,Seminar,Bern,41806,T4 – Logic,T4,Weekly,"Thursday, 13:30-15:00","UniBE, ExWi",A097
Seminar Machine Learning and Artificial Intelligence ,https://mcs.unibnf.ch/courses/seminar-machine-learning-and-artificial-intelligence/,Seminar,Bern,31801/61801,T3 – Advanced Information Processing & T6 – Data Science,T3 & T6,Weekly,"Tuesday, 10:15 - 12:00",online,
Seminar Software Composition ,https://mcs.unibnf.ch/courses/seminar-software-composition/,Seminar,Bern,21809,T2 – Advanced Software Engineering,T2,Weekly,"Tuesday, 10:15 - 12:00","UniBE, Schützenmattstrasse 14 / online",107
Software Modeling and Analysis ,https://mcs.unibnf.ch/courses/software-modeling-and-analysis/,Course,Bern,21045,T2 – Advanced Software Engineering,T2,Weekly,"Wednesday, 10:15 - 13:00","UniBE, Engehaldenstrasse 8 / online",003
User Centered Design ,https://mcs.unibnf.ch/courses/user-centered-design/,Course,Fribourg,03018,T0 – General,T0,Weekly,"Monday, 14:15 - 17:00","UniFR, PER21 / online",B130
