codes,courseLink,courseName,semester,teachers
13819/43819,https://mcs.unibnf.ch/courses/seminar-foundations-of-dependable-systems-ii/,Seminar Foundations of Dependable Systems II,S2021,Ulrich Ultes-Nitsche
53835/63835,https://mcs.unibnf.ch/courses/seminar-hands-on-recommender-systems/,Seminar Hands-On Recommender Systems,A2020,Edy Portmann & Luis Terán
53804/63804,https://mcs.unibnf.ch/courses/seminar-human-smart-cities/,Seminar Human Smart Cities,A2020,Edy Portmann
33828/63828,https://mcs.unibnf.ch/courses/seminar-human-computer-interaction-i/,Seminar Human-Computer Interaction I,A2020,Denis Lalanne & Julien Nembrini
33844/63844,https://mcs.unibnf.ch/courses/seminar-human-computer-interaction-ii/,Seminar Human-Computer Interaction II,S2021,Denis Lalanne
03805,https://mcs.unibnf.ch/courses/seminar-interdisciplinary-issues-in-ict/,Seminar Interdisciplinary Issues in ICT,A2020,Michèle Courant
03820,https://mcs.unibnf.ch/courses/seminar-interdisciplinary-issues-in-ict-2/,Seminar Interdisciplinary Issues in ICT,S2021,Michèle Courant
41806,https://mcs.unibnf.ch/courses/seminar-logic-and-theoretical-computer-science/,Seminar Logic and Theoretical Computer Science,A2020,George Metcalfe & Thomas Strahm & Thomas Studer
41821,https://mcs.unibnf.ch/courses/seminar-logic-and-theoretical-computer-science-2/,Seminar Logic and Theoretical Computer Science,S2021,Thomas Strahm & Thomas Studer
31801/61801,https://mcs.unibnf.ch/courses/seminar-machine-learning-and-artificial-intelligence/,Seminar Machine Learning and Artificial Intelligence,A2020,Paolo Favaro
31816/61816,https://mcs.unibnf.ch/courses/seminar-machine-learning-and-artificial-intelligence-2/,Seminar Machine Learning and Artificial Intelligence,S2021,Paolo Favaro
21809,https://mcs.unibnf.ch/courses/seminar-software-composition/,Seminar Software Composition,A2020,Oscar Nierstrasz
21792,https://mcs.unibnf.ch/courses/seminar-software-composition-2/,Seminar Software Composition,S2021,Oscar Nierstrasz
63091,https://mcs.unibnf.ch/courses/social-media-analytics/,Social Media Analytics,S2021,Mourad Khayati & Philippe Cudré-Mauroux
21045,https://mcs.unibnf.ch/courses/software-modeling-and-analysis/,Software Modeling and Analysis,A2020,Oscar Nierstrasz
03018,https://mcs.unibnf.ch/courses/user-centered-design/,User Centered Design,A2020,Agnes Lisowska Masson & Denis Lalanne
13081/43081,https://mcs.unibnf.ch/courses/applied-cryptography/,Verification of Cyber-physical Systems,S2021,Ulrich Ultes-Nitsche

