3D Geometry Processing                                                            ,https://mcs.unibnf.ch/courses/3d-geometry-processing/                                                          ,Course  ,Bern      ,31097       ,T3 – Advanced Information Processing                              ,T3      ,David Bommes                                     ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841371.html ,Weekly         ,"Thursday, 09:15 - 12:00"                                                                 ,"UniBE, Engehaldenstrasse 8"    ,001
Seminar Computer Graphics and Geometry Processing                                 ,https://mcs.unibnf.ch/courses/seminar-computer-graphics-and-geometry-processing-2/                             ,Seminar ,Bern      ,31815       ,T3 – Advanced Information Processing                              ,T3      ,David Bommes                                     ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841390.html ,Weekly         ,"Thursday, 14:15 - 16:00"                                                                 ,"UniBE, Neubrückstrasse 10"     ,302
Cloud Computing                                                                   ,https://mcs.unibnf.ch/courses/cloud-computing/                                                                 ,Course  ,Neuchâtel ,12083/62083 ,T1 – Distributed Systems & T6 – Data Science                      ,T1 & T6 ,Lorenzo Leonini                                  ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1848621.html ,Weekly         ,"Thursday, 14:15 - 18:00"                                                                 ,"UniNE, Unimail"                ,
Fuzzy Systems Modeling                                                            ,https://mcs.unibnf.ch/courses/fuzzy-systems-modeling/                                                          ,Course  ,Fribourg  ,53104       ,T5 – Information Systems and Decision Support                     ,T5      ,Edy Portmann                                     ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841377.html ,Weekly         ,"Friday, 09:15 - 12:00"                                                                   ,"UniFR, PER21"                  ,D230
Multimodal User Interfaces                                                        ,https://mcs.unibnf.ch/courses/multimodal-user-interfaces/                                                      ,Course  ,Fribourg  ,03035/33035 ,T0 – General & T3 – Advanced Information Processing               ,T0 & T3 ,Denis Lalanne                                    ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841381.html ,Weekly         ,"Friday, 10:15 - 13:00"                                                                   ,"UniFR, PER21"                  ,B130
Programming Languages                                                             ,https://mcs.unibnf.ch/courses/programming-languages/                                                           ,Course  ,Bern      ,21048       ,T2 – Advanced Software Engineering                                ,T2      ,Oscar Nierstrasz                                 ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841383.html ,Weekly         ,"Friday, 10:15 - 13:00"                                                                   ,"UniBE, Engehaldenstrasse 8"    ,001
Design and Graphics Programming for Game Development                              ,https://mcs.unibnf.ch/courses/design-and-graphics-programming-for-game-development/                            ,Course  ,Fribourg  ,33006       ,T3 – Advanced Information Processing                              ,T3      ,Maurizio Rigamonti                               ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841375.html ,Weekly         ,"Friday, 14:15 - 17:00"                                                                   ,"UniFR, PER21"                  ,D230
Emerging Technologies in Digitalisation                                           ,https://mcs.unibnf.ch/courses/emerging-technologies-in-digitalisation/                                         ,Seminar ,Fribourg  ,53855       ,T5 – Information Systems and Decision Support                     ,T5      ,Hans-Georg Fill                                  ,                                                          ,On Appointment ,"UniFR, PER21"                                                                            ,                                ,
Scientific Reading in Computer Networks                                           ,https://mcs.unibnf.ch/courses/scientific-reading-in-computer-networks-2/                                       ,Seminar ,Bern      ,11811       ,T1 – Distributed Systems                                          ,T1      ,Torsten Braun                                    ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841387.html ,On Appointment ,                                                                                          ,                                ,
Scientific Writing in Computer Networks                                           ,https://mcs.unibnf.ch/courses/scientific-writing-in-computer-networks-2/                                       ,Seminar ,Bern      ,11812       ,T1 – Distributed Systems                                          ,T1      ,Torsten Braun                                    ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841388.html ,On Appointment ,                                                                                          ,                                ,
Seminar Civil Law and Computer Science                                            ,https://mcs.unibnf.ch/courses/seminar-civil-law-and-computer-science/                                          ,Seminar ,Bern      ,01856       ,T0 – General                                                      ,T0      ,Christian Cachin & Mirjam Eggen                  ,                                                          ,On Appointment ,"UniBE, UniS"                                                                             ,                                ,
Seminar Computing with Words                                                      ,https://mcs.unibnf.ch/courses/seminar-computing-with-words/                                                    ,Seminar ,Fribourg  ,53817/63817 ,T5 – Information Systems and Decision Support & T6 – Data Science ,T5 & T6 ,Edy Portmann                                     ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841391.html ,On Appointment ,"UniFR, PER21"                                                                            ,                                ,
Seminar Explainable AI – Human-Computer Interaction meets Artificial Intelligence ,https://mcs.unibnf.ch/courses/seminar-explainable-ai-human-computer-interaction-meets-artificial-intelligence/ ,Seminar ,Fribourg  ,33823/63823 ,T3 – Advanced Information Processing & T6 – Data Science          ,T3 & T6 ,Elena Mugellini & Omar Abou Khaled & Rolf Ingold ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841393.html ,On Appointment ,"UniFR, PER21"                                                                            ,                                ,
Seminar Foundations of Dependable Systems II                                      ,https://mcs.unibnf.ch/courses/seminar-foundations-of-dependable-systems-ii/                                    ,Seminar ,Fribourg  ,13819/43819 ,T1 – Distributed Systems & T4 – Logic                             ,T1 & T4 ,Ulrich Ultes-Nitsche                             ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841394.html ,On Appointment ,"UniFR, PER21"                                                                            ,                                ,
Seminar Human-Computer Interaction II                                             ,https://mcs.unibnf.ch/courses/seminar-human-computer-interaction-ii/                                           ,Seminar ,Fribourg  ,33844/63844 ,T3 – Advanced Information Processing & T6 – Data Science          ,T3 & T6 ,Denis Lalanne                                    ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841395.html ,On Appointment ,"UniFR, PER21"                                                                            ,                                ,
Seminar Interdisciplinary Issues in ICT                                           ,https://mcs.unibnf.ch/courses/seminar-interdisciplinary-issues-in-ict-2/                                       ,Seminar ,Fribourg  ,03820       ,T0 – General                                                      ,T0      ,Michèle Courant                                  ,https://ilias.unibe.ch/goto_ilias3_unibe_crs_1841396.html ,On Appointment ,"UniFR, PER21"                                                                            ,                                ,
